"filename", "language", "Python", "TypeScript", "JSON with Comments", "JSON", "TypeScript JSX", "JavaScript", "PostCSS", "Markdown", "XML", "Shell Script", "Dotenv", "comment", "blank", "total"
"c:\projects\diploma\backend\staticfiles\admin\img\icon-clock.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 6, 1, 16
"c:\projects\diploma\backend\staticfiles\admin\img\icon-debug-dark.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 6, 1, 10
"c:\projects\diploma\backend\staticfiles\admin\img\icon-debug.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 6, 1, 10
"c:\projects\diploma\backend\staticfiles\admin\img\icon-deletelink.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 6, 1, 12
"c:\projects\diploma\backend\staticfiles\admin\img\icon-hidelink.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 6, 1, 10
"c:\projects\diploma\backend\staticfiles\admin\img\icon-info-dark.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 6, 1, 10
"c:\projects\diploma\backend\staticfiles\admin\img\icon-info.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 6, 1, 10
"c:\projects\diploma\backend\staticfiles\admin\img\icon-no-dark.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 6, 1, 10
"c:\projects\diploma\backend\staticfiles\admin\img\icon-no.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 6, 1, 10
"c:\projects\diploma\backend\staticfiles\admin\img\icon-unknown-alt.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 6, 1, 10
"c:\projects\diploma\backend\staticfiles\admin\img\icon-unknown.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 6, 1, 10
"c:\projects\diploma\backend\staticfiles\admin\img\icon-viewlink.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 6, 1, 10
"c:\projects\diploma\backend\staticfiles\admin\img\icon-yes-dark.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 6, 1, 10
"c:\projects\diploma\backend\staticfiles\admin\img\icon-yes.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 6, 1, 10
"c:\projects\diploma\backend\staticfiles\admin\img\inline-delete.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 6, 1, 10
"c:\projects\diploma\backend\staticfiles\admin\img\search.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 6, 1, 10
"c:\projects\diploma\backend\staticfiles\admin\img\selector-icons.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 21, 1, 46
"c:\projects\diploma\backend\staticfiles\admin\img\sorting-icons.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 16, 1, 36
"c:\projects\diploma\backend\staticfiles\admin\img\tooltag-add.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 6, 1, 10
"c:\projects\diploma\backend\staticfiles\admin\img\tooltag-arrowright.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 6, 1, 10
"c:\projects\diploma\backend\staticfiles\admin\js\SelectBox.js", "JavaScript", 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 5, 1, 117
"c:\projects\diploma\backend\staticfiles\admin\js\SelectFilter2.js", "JavaScript", 0, 0, 0, 0, 0, 280, 0, 0, 0, 0, 0, 28, 22, 330
"c:\projects\diploma\backend\staticfiles\admin\js\actions.js", "JavaScript", 0, 0, 0, 0, 0, 175, 0, 0, 0, 0, 0, 9, 21, 205
"c:\projects\diploma\backend\staticfiles\admin\js\admin\DateTimeShortcuts.js", "JavaScript", 0, 0, 0, 0, 0, 322, 0, 0, 0, 0, 0, 65, 27, 414
"c:\projects\diploma\backend\staticfiles\admin\js\admin\RelatedObjectLookups.js", "JavaScript", 0, 0, 0, 0, 0, 216, 0, 0, 0, 0, 0, 14, 23, 253
"c:\projects\diploma\backend\staticfiles\admin\js\autocomplete.js", "JavaScript", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 2, 4, 34
"c:\projects\diploma\backend\staticfiles\admin\js\calendar.js", "JavaScript", 0, 0, 0, 0, 0, 196, 0, 0, 0, 0, 0, 28, 16, 240
"c:\projects\diploma\backend\staticfiles\admin\js\cancel.js", "JavaScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 2, 18
"c:\projects\diploma\backend\staticfiles\admin\js\change_form.js", "JavaScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 1, 17
"c:\projects\diploma\backend\staticfiles\admin\js\core.js", "JavaScript", 0, 0, 0, 0, 0, 148, 0, 0, 0, 0, 0, 19, 18, 185
"c:\projects\diploma\backend\staticfiles\admin\js\filters.js", "JavaScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 5, 31
"c:\projects\diploma\backend\staticfiles\admin\js\inlines.js", "JavaScript", 0, 0, 0, 0, 0, 272, 0, 0, 0, 0, 0, 61, 27, 360
"c:\projects\diploma\backend\staticfiles\admin\js\jquery.init.js", "JavaScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 6, 1, 9
"c:\projects\diploma\backend\staticfiles\admin\js\nav_sidebar.js", "JavaScript", 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 1, 6, 80
"c:\projects\diploma\backend\staticfiles\admin\js\popup_response.js", "JavaScript", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 2, 4, 44
"c:\projects\diploma\backend\staticfiles\admin\js\prepopulate.js", "JavaScript", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 10, 5, 44
"c:\projects\diploma\backend\staticfiles\admin\js\prepopulate_init.js", "JavaScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 1, 16
"c:\projects\diploma\backend\staticfiles\admin\js\theme.js", "JavaScript", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 3, 6, 52
"c:\projects\diploma\backend\staticfiles\admin\js\urlify.js", "JavaScript", 0, 0, 0, 0, 0, 159, 0, 0, 0, 0, 0, 5, 6, 170
"c:\projects\diploma\backend\staticfiles\admin\js\vendor\jquery\jquery.js", "JavaScript", 0, 0, 0, 0, 0, 6767, 0, 0, 0, 0, 0, 1887, 2063, 10717
"c:\projects\diploma\backend\staticfiles\admin\js\vendor\jquery\jquery.min.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\projects\diploma\backend\staticfiles\admin\js\vendor\select2\LICENSE.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\projects\diploma\backend\staticfiles\admin\js\vendor\select2\i18n\af.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\projects\diploma\backend\staticfiles\admin\js\vendor\select2\i18n\ar.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\projects\diploma\backend\staticfiles\admin\js\vendor\select2\i18n\az.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\projects\diploma\backend\staticfiles\admin\js\vendor\select2\i18n\bg.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\projects\diploma\backend\staticfiles\admin\js\vendor\select2\i18n\bn.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\projects\diploma\backend\staticfiles\admin\js\vendor\select2\i18n\bs.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\projects\diploma\backend\staticfiles\admin\js\vendor\select2\i18n\ca.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\projects\diploma\backend\staticfiles\admin\js\vendor\select2\i18n\cs.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\projects\diploma\backend\staticfiles\admin\js\vendor\select2\i18n\da.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\projects\diploma\backend\staticfiles\admin\js\vendor\select2\i18n\de.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\projects\diploma\backend\staticfiles\admin\js\vendor\select2\i18n\dsb.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\projects\diploma\backend\staticfiles\admin\js\vendor\select2\i18n\el.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\projects\diploma\backend\staticfiles\admin\js\vendor\select2\i18n\en.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\projects\diploma\backend\staticfiles\admin\js\vendor\select2\i18n\es.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\projects\diploma\backend\staticfiles\admin\js\vendor\select2\i18n\et.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\projects\diploma\backend\staticfiles\admin\js\vendor\select2\i18n\eu.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\projects\diploma\backend\staticfiles\admin\js\vendor\select2\i18n\fa.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\projects\diploma\backend\staticfiles\admin\js\vendor\select2\i18n\fi.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\projects\diploma\backend\staticfiles\admin\js\vendor\select2\i18n\fr.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
